epoch,loss,psnr_met2,ssim_metric2d,val_loss,val_psnr_met2,val_ssim_metric2d
0,1.4551645517349243,13.401484489440918,0.31873825192451477,0.11123097687959671,16.653291702270508,0.2765556275844574
1,0.13574133813381195,15.35833740234375,0.333453893661499,0.10319819301366806,17.335844039916992,0.31896206736564636
2,0.2713322043418884,15.568037033081055,0.3607883155345917,0.10885930806398392,16.853656768798828,0.3031817674636841
3,0.12598663568496704,16.906173706054688,0.37161245942115784,0.10023687034845352,17.58603858947754,0.28724634647369385
4,0.08682270348072052,18.181110382080078,0.404905766248703,0.0954430028796196,18.026887893676758,0.3447926342487335
5,0.07833286374807358,19.054994583129883,0.48118191957473755,0.09716028720140457,17.842350006103516,0.3534986674785614
6,5.981158256530762,11.497293472290039,0.3339139223098755,0.10589475929737091,16.906354904174805,0.27935871481895447
7,0.09305424988269806,17.400129318237305,0.4025569260120392,0.10162551701068878,17.243602752685547,0.3499932587146759
8,0.08966381847858429,17.74030303955078,0.4130566418170929,0.1049426794052124,16.944259643554688,0.3404224216938019
9,0.0890527069568634,17.80652618408203,0.41511473059654236,0.09528844803571701,17.9139461517334,0.35599270462989807
10,0.086905837059021,18.035648345947266,0.4194866716861725,0.1004653200507164,17.35368537902832,0.3542900085449219
11,0.08482170850038528,18.239383697509766,0.42419445514678955,0.09080424159765244,18.0992488861084,0.3722172677516937
12,0.12154418230056763,16.81837272644043,0.4370984137058258,0.12220228463411331,15.406996726989746,0.3058243691921234
13,0.08615418523550034,18.123634338378906,0.4157732129096985,0.09482712298631668,17.948795318603516,0.3528743386268616
14,0.08392006158828735,18.351980209350586,0.42242270708084106,0.09428298473358154,18.002941131591797,0.3559349477291107
15,0.08430127799510956,18.307476043701172,0.4231020510196686,0.09402019530534744,18.024808883666992,0.355758398771286
16,0.08366885781288147,18.372472763061523,0.4249327778816223,0.09437170624732971,17.970060348510742,0.3532783091068268
17,0.1555793285369873,17.350618362426758,0.4318607449531555,0.09799382835626602,17.589765548706055,0.34642258286476135
18,0.08495309948921204,18.205364227294922,0.4171641767024994,0.09419102221727371,17.960826873779297,0.35335278511047363
19,0.08351603150367737,18.357810974121094,0.4215642809867859,0.09351229667663574,18.027034759521484,0.3563934564590454
20,0.082937091588974,18.41854476928711,0.4233860969543457,0.09317302703857422,18.0687255859375,0.3566126823425293
21,0.08244910091161728,18.466934204101562,0.42510902881622314,0.09288395941257477,18.089906692504883,0.35355639457702637
22,0.08211006969213486,18.505748748779297,0.42642146348953247,0.09260506182909012,18.11677360534668,0.3593159317970276
